Name,ID
218. The Terminator,0088247
219. Jai Bhim,15097216
220. Before Sunset,0381681
221. Rush,1979320
222. Network,0074958
223. Stand by Me,0092005
224. The Best Years of Our Lives,0036868
225. La haine,0113247
226. The Wizard of Oz,0032138
227. Into the Wild,0758758
228. The Exorcist,0070047
229. Pirates of the Caribbean: The Curse of the Black Pearl,0325980
230. The Incredibles,0317705
231. To Be or Not to Be,0035446
232. The Grapes of Wrath,0032551
233. Groundhog Day,0107048
234. Hachi: A Dog's Tale,1028532
235. The Battle of Algiers,0058946
236. My Father and My Son,0476735
237. The Handmaiden,4016934
238. Amores Perros,0245712
239. Rebecca,0032976
240. Cool Hand Luke,0061512
241. The Sound of Music,0059742
242. Pather Panchali,0048473
243. It Happened One Night,0025316
244. The Iron Giant,0129167
245. The Help,1454029
246. The 400 Blows,0053198
247. Persona,0060827
248. Life of Brian,0079470
249. Aladdin,0103639
250. Drishyam,4430212
